,genes
831,NTSR1
832,NUCB2
833,NUCKS1
834,NUDT19
835,NUP133
836,NUP210
837,NUTF2
838,NUTM2F
839,NVL
840,NXT1
841,OASL
842,OAZ1
843,OR1K1
844,OR1Q1
845,OR2C1
846,OR2Z1
847,OR4E2
848,OR51S1
849,OR52A1
850,OR5H6
851,OR6C4
852,OR8A1
853,ORC6
854,OSGIN1
855,OTOP1
856,OTUB1
857,P2RX2
858,P2RY14
859,P4HA1
860,PABPC1L2A
861,PACRG
862,PACSIN2
863,PAGE2B
864,PARP8
865,PARVB
866,PATE4
867,PAX4
868,PBK
869,PCBP3
870,PCDH9
871,PCDHA4
872,PCDHB19P
873,PCK2
874,PDCD5
875,PDCL2
876,PDLIM1
877,PDLIM5
878,PDZD3
879,PER4
880,PGBD5
881,PGM2L1
882,PGR
883,PHACTR3
884,PHACTR4
885,PHF10
886,PHLDB1
887,PI3
888,PIGT
889,PIGW
890,PIGY+PYURF
891,PIK3IP1
892,PIM1
893,PKLR
894,PKM
895,PKN2-AS1
896,PKP4
897,PLA2G12A
898,PLA2G2F
899,PLA2G4A
900,PLAC8L1
901,PLAG1
902,PLCXD2-AS1
903,PLEK
904,PLEKHD1
905,PLGRKT
906,PLK2
907,PMM1
908,PMS2P4
909,PNPLA2
910,PNPLA8
911,PODXL
912,POF1B
913,POLD3
914,POLDIP3
915,POLQ
916,POLR2C
917,POLR2J4
918,PON3
919,POU5F1P4
920,PPAP2C
921,PPIAP30
922,PPIL1
923,PPM1B
924,PPP1R11
925,PPP1R12A
926,PPP1R35
927,PPP1R37
928,PPWD1
929,PREX1
930,PRICKLE2-AS2
931,PRKCD
932,PRKCZ
933,PRKG1-AS1
934,PROC
935,PRODH
936,PROS1
937,PRPF40B
938,PRR15
939,PRR19
940,PRR23A
941,PRRC2A
942,PRRG2
943,PRSS21
944,PRSS3P2
945,PRSS57
946,PSCA
947,PSD3
948,PSKH2
949,PSMA2
950,PSMA4
951,PSMB6
952,PSME2
953,PSPN
954,PTAR1
955,PTGER4
956,PTGS2
957,PTPN2
958,PTPN21
959,PTPRC
960,PTPRH
961,PTPRS
962,PTRHD1
963,PTTG1IP
964,PWP2
965,PYGL
966,QRFP
967,RAB11B-AS1
968,RAB15
969,RAB24
970,RAB31
971,RABEPK
972,RABGAP1L
973,RABIF
974,RAD21-AS1
975,RALGAPA1
976,RALGAPB
977,RAMP1
978,RAN
979,RANBP9
980,RAP1GAP
981,RARA-AS1
982,RARS
983,RASL11B
984,RAVER2
985,RBAKDN
986,RBFOX2
987,RBM10
988,RBM11
989,RBM14
990,RBM34
991,RBM38
992,RBM45
993,RBMXL1
994,RBMY2EP
995,RBP3
996,RBP4
997,RBX1
998,RCOR3
999,RDH14
1000,RECQL
1001,RECQL4
1002,RFTN2
1003,RFX4
1004,RGPD2
1005,RGS16
1006,RHAG
1007,RHOU
1008,RIBC2
1009,RLN1
1010,RNASE7
1011,RNF123
1012,RNF150
1013,RNF183
1014,RNF216
1015,RNF26
1016,RNFT1
1017,RPGR
1018,RPL11
1019,RPL13
1020,RPL15
1021,RPL18
1022,RPL27A
1023,RPL37A
1024,RPLP1
1025,RPRD1A
1026,RPS15
1027,RPS27L
1028,RPS3
1029,RPS9
1030,RRAS
1031,RRM2
1032,RSU1
1033,RTEL1
1034,RXFP1
1035,S100A16
1036,SAMM50
1037,SARDH
1038,SARS2
1039,SAYSD1
1040,SBNO2
1041,SCAP
1042,SCARNA23
1043,SCARNA7
1044,SDPR
1045,SEC24B-AS1
1046,SEC61A1
1047,SEC63
1048,SELENBP1
1049,SELL
1050,SEMA6A
1051,SEPP1
1052,SERPINF2
1053,SERPINI1
1054,SERTAD4
1055,SETD1A
1056,SFTPD
1057,SFXN2
1058,SGTB
1059,SH2D1A
1060,SH3GL1
1061,SH3KBP1
1062,SH3RF3-AS1
1063,SHMT2
1064,SHOC2
1065,SKP2
1066,SLC10A2
1067,SLC10A7
1068,SLC16A12-AS1
1069,SLC16A14
1070,SLC17A9
1071,SLC25A26
