,genes
692,MAP1LC3A
693,MAP1S
694,MAP2K2
695,MAP3K5
696,MAP6D1
697,MAPK1
698,MARC1
699,MARCKS
700,MARS2
701,MAS1
702,MATN2
703,MC1R
704,MC2R
705,MCTP2
706,MCTS2P
707,MDK
708,MDM4
709,MEAF6
710,MEDAG
711,MEIS1
712,MESDC1
713,MESP2
714,METTL23
715,MFSD10
716,MFSD3
717,MICU1
718,MIEF2
719,MIPEPP3
720,MIPOL1
721,MIR1231
722,MIR125B2
723,MIR1284
724,MIR155HG
725,MIR23C
726,MIR24-2
727,MIR25
728,MIR26A2
729,MIR3140
730,MIR3146
731,MIR3690
732,MIR3692
733,MIR3978
734,MIR4280
735,MIR4422
736,MIR4482
737,MIR4639
738,MIR4673
739,MIR4727
740,MIR5047
741,MIR5090
742,MIR5188
743,MIR548AZ
744,MIR548H2
745,MIR558
746,MIR591
747,MIR601
748,MIR604
749,MIR6132
750,MIR622
751,MIR6719
752,MIR6727
753,MIR6753
754,MIR6813
755,MIR6859-1+MIR6859-2
756,MIR6865
757,MIR6869
758,MIR6876
759,MIR8066
760,MIRLET7A2
761,MIRLET7I
762,MLLT4
763,MLST8
764,MOAP1
765,MORN2
766,MORN3
767,MPL
768,MPO
769,MROH8
770,MRPL15
771,MRPL16
772,MRPL19
773,MRPL20
774,MRPL23
775,MRPL32
776,MRPL38
777,MRPL42
778,MRPS12
779,MRPS28
780,MRRF
781,MSH6
782,MSL1
783,MT1G
784,MT1IP
785,MT2A
786,MTA3
787,MTERF4
788,MTOR-AS1
789,MVB12B
790,MVK
791,MYH13
792,MYL5
793,MYO1B
794,MYOD1
795,NAA10
796,NAA15
797,NAA40
798,NACA
799,NALCN
800,NAV3
801,NBEAL1
802,NBEAP1
803,NCAPG
804,NCAPH
805,NCF1C
806,NCF4
807,NCL
808,NDUFA1
809,NDUFAF6
810,NDUFB5
811,NDUFB6
812,NEDD1
813,NELL1
814,NEURL1
815,NFIB
816,NFIL3
817,NID1
818,NIF3L1
819,NIFK-AS1
820,NIPSNAP3A
821,NISCH
822,NKAIN2
823,NKAPL
824,NLRP9
825,NME1
826,NOL12
827,NOP10
828,NOSIP
829,NOVA2
830,NOX1
831,NOXO1
832,NPAS1
833,NR0B2
834,NR1H3
835,NR1I2
836,NR1I3
837,NRARP
838,NRF1
839,NRN1
840,NSFL1C
841,NSL1
842,NSUN5
843,NT5DC2
844,NTN4
845,NTSR1
846,NUCB2
847,NUCKS1
848,NUDT19
849,NUP133
850,NUP210
851,NUTF2
852,NUTM2F
853,NVL
854,NXT1
855,OASL
856,OAZ1
857,OR1A1
858,OR1K1
859,OR1Q1
860,OR2Z1
861,OR4E2
862,OR51S1
863,OR6C4
864,OR8A1
865,OR8D2
866,ORC6
867,OSGIN1
868,OTOP1
869,OTUB1
870,OTUD7B
871,P2RX2
872,P2RY14
873,P4HA1
874,PABPC1L2A
875,PACRG
876,PAGE2
877,PARP8
878,PARVB
879,PATE4
880,PAX4
881,PBK
882,PCBP3
883,PCDH9
884,PCDHA4
885,PCDHB19P
886,PCK2
887,PDCD5
888,PDCL2
889,PDLIM1
890,PDLIM5
891,PDZD3
892,PER4
893,PGBD5
894,PGM2L1
895,PGR
896,PGS1
897,PHACTR3
898,PHACTR4
899,PHF10
900,PHLDB1
901,PI15
902,PI3
903,PIGW
904,PIGY+PYURF
905,PIK3IP1
906,PIM1
907,PKLR
908,PKM
909,PKN2-AS1
910,PKP4
911,PLA2G12A
912,PLA2G2F
913,PLA2G4A
914,PLA2G4D
915,PLAC8L1
916,PLAG1
917,PLEK
918,PLEKHD1
919,PLGRKT
920,PLK2
921,PMM1
922,PMS2P4
923,PNPLA2
924,PNPLA8
925,PODXL
926,POF1B
927,POLD3
928,POLDIP3
929,POLQ
930,POLR2C
931,POLR2J4
932,POLR3E
933,PON3
934,POU5F1P4
935,PPAP2C
936,PPIAP30
937,PPIL1
938,PPM1B
939,PPP1R11
940,PPP1R12A
941,PPP1R14A
942,PPP1R35
943,PPP1R37
944,PPWD1
945,PREX1
946,PRICKLE2-AS1
947,PRICKLE2-AS2
948,PRKCD
949,PRKCZ
950,PRKG1-AS1
951,PROC
952,PRODH
953,PROS1
954,PRPF40B
955,PRR15
956,PRR19
957,PRR23A
958,PRRC2A
959,PRRG2
960,PRSS21
961,PRSS3P2
962,PRSS57
963,PSCA
964,PSD3
965,PSKH2
966,PSMA2
967,PSMA4
968,PSMB6
969,PSME2
970,PSPN
971,PTAR1
972,PTGER4
973,PTGS2
974,PTPN2
975,PTPN21
976,PTPRC
977,PTPRH
978,PTPRS
979,PTRHD1
980,PTTG1IP
981,PTX3
982,PWP2
983,PYGL
984,QRFP
985,RAB11B-AS1
986,RAB15
987,RAB24
988,RAB31
989,RABEPK
990,RABGAP1L
991,RABIF
992,RALGAPA1
993,RALGAPB
994,RAMP1
995,RAN
996,RANBP9
997,RAP1GAP
998,RARA-AS1
999,RARS
1000,RASL11B
1001,RAVER2
1002,RBAKDN
1003,RBFOX2
1004,RBM10
1005,RBM11
1006,RBM14
1007,RBM34
1008,RBM38
1009,RBM45
1010,RBMXL1
1011,RBMY2EP
1012,RBP3
1013,RBP4
1014,RBX1
1015,RCOR3
1016,RDH14
1017,RECQL
1018,RECQL4
1019,RFTN2
1020,RFX2
1021,RFX4
1022,RGMB-AS1
1023,RGPD2
1024,RGS16
1025,RHAG
1026,RHOU
1027,RIBC2
1028,RLN1
1029,RNASE7
1030,RNF123
1031,RNF150
1032,RNF183
1033,RNF216
1034,RNF26
1035,RNFT1
1036,RPGR
1037,RPL11
1038,RPL13
1039,RPL15
1040,RPL18
1041,RPL37A
1042,RPLP1
1043,RPRD1A
1044,RPS15
1045,RPS27L
1046,RPS3
1047,RPS9
1048,RRAS
1049,RRM2
1050,RSU1
1051,RTEL1
1052,RXFP1
1053,RYR2
1054,S100A16
1055,SAMM50
1056,SARDH
1057,SARS2
1058,SAYSD1
1059,SBNO2
1060,SCAP
1061,SCARNA23
1062,SDPR
1063,SEC24B-AS1
1064,SEC61A1
1065,SEC63
1066,SELENBP1
1067,SELL
1068,SEMA6A
1069,SEPP1
1070,SERPINF2
1071,SERPINI1
1072,SERTAD4
1073,SETD1A
1074,SFTPD
1075,SFXN2
1076,SGTB
1077,SH2D1A
1078,SH3GL1
1079,SH3KBP1
1080,SH3RF3-AS1
1081,SHMT2
1082,SHOC2
1083,SKP2
1084,SLC10A2
1085,SLC10A7
1086,SLC16A14
1087,SLC17A9
1088,SLC25A26
1089,SLC25A5-AS1
1090,SLC29A4
1091,SLC30A1
1092,SLC30A8
1093,SLC35E1
1094,SLC35F2
1095,SLC35F4
1096,SLC38A1
1097,SLC39A1
1098,SLC40A1
1099,SLC43A1
1100,SLC6A3
1101,SLC6A8
1102,SLC7A5P1
1103,SLC8A3
1104,SLC9A7
1105,SLCO1C1
1106,SLITRK1
1107,SMAD7
1108,SMARCA5
1109,SMARCA5-AS1
1110,SMARCAL1
1111,SMC1A
1112,SMDT1
1113,SMEK2
1114,SMIM2-AS1
1115,SMIM2-IT1
1116,SMUG1
1117,SNAR-F
1118,SNAR-G1
